"","Nome","X","X.1","RT","Squadra.x","Kap.","X350K..8.","X350K..10.","X500K..8.","X500K..10.","M.V.","Pres.","Id","R","Squadra.y","Pg","Mv","Mf","Gf","Gs","Rp","Rc","R+","R-","Ass","Asf","Amm","Esp","Au"
"91","BERNI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"248","P","Inter","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","BERTOLACCI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"366","C","Sampdoria","12","5.95","5.8","0","0","0","0","0","0","0","0","3","0","0"
"93","BESSA",263,NA,"
                        
                                                  C
                        

                        ","Verona",8,NA,3.88,NA,0.5,NA,NA,"264","C","Verona","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","BIANCU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2157","C","Cagliari","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","BIANDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2783","D","Roma","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","BIGLIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"331","C","Milan","14","5.39","5.28","0","0","0","0","0","0","1","0","4","0","0"
"97","BIRAGHI",476,NA,"
                        
                                                  C
                        

                        ","Fiorentina",15,17.13,17.22,15.4,19.15,NA,NA,"252","D","Inter","25","5.98","6.43","2","0","0","0","0","0","6","0","3","0","0"
"98","BIRASCHI",209,NA,"
                        
                                                  D
                        

                        ","Genoa",7,NA,NA,NA,NA,NA,NA,"2083","D","Genoa","24","5.65","5.46","0","0","0","0","0","0","0","0","3","1","1"
"99","BIRSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"111","C","Cagliari","13","5.72","5.67","0","0","0","0","0","0","0","0","1","0","0"
"100","BISOLI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4445","C","Brescia","25","5.88","5.92","1","0","0","0","0","0","1","0","6","0","0"
"101","BJARNASON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4880","C","Brescia","13","5.65","5.62","0","0","0","0","0","0","0","0","1","0","0"
"102","BLEVE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4468","P","Lecce","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","BOATENG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"771","A","Fiorentina","14","5.79","5.96","1","0","0","0","0","0","0","0","2","0","0"
"104","BOCCHETTI",98,NA,"
                        
                                                  D
                        

                        ","Serie Minori",4,NA,NA,NA,NA,NA,NA,"4420","D","Verona","5","5.9","5.7","0","0","0","0","0","0","0","0","2","0","0"
"105","BOER",30,NA,"
                        
                                                  P
                        

                        ","Roma",1,1.11,1.26,1.02,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","BOGA",616,NA,"
                        
                                                  A
                        

                        ","Sassuolo",30,31.27,37.71,30.05,38.15,NA,NA,"2832","A","Sassuolo","34","6.15","7.21","11","0","0","0","0","0","2","0","0","0","0"
